631,A3TAS1AG6FMBQW,0972683275,5.0,1353456000
2162,A5JLAU2ARJ0BO,1400532655,1.0,1291334400
6268,A18HE80910BTZI,9983891212,5.0,1328572800
8147,A1T1YSCDW0PD25,B00000DM9W,5.0,1123113600
9805,A2HMF8ZR67BNZS,B00000J1EQ,5.0,1334707200
9859,AZMY6E8B52L2T,B00000J1EQ,5.0,1350691200
11018,A6FIAB28IS79,B00000J1UQ,5.0,1251763200
11383,A3J8A5L5AF5TX9,B00000J1V5,5.0,1306972800
11464,A2HRHF83I3NDGT,B00000J1V5,5.0,1385942400
12915,A1EH2S92FHWZRP,B00000J4FS,4.0,1291852800
18168,A3CW0ZLUO5X2B1,B00000K135,5.0,1338076800
18358,A22CW0ZHY3NJH8,B00000K135,5.0,1259798400
18439,A2HRHF83I3NDGT,B00000K135,5.0,1385510400
18509,A3TAS1AG6FMBQW,B00000K13A,5.0,1267920000
19717,A1F1A0QQP2XVH5,B00000K4KH,5.0,1309996800
20615,A3W4D8XOGLWUN5,B00001OWYM,4.0,1355875200
21046,A38RMU1Y5TDP9,B00001P4XA,5.0,1163030400
21401,A18HE80910BTZI,B00001P4XA,5.0,1213574400
21415,A3J8A5L5AF5TX9,B00001P4XA,4.0,1358812800
22945,A2WB7LZ595CR50,B00001P4ZH,4.0,1258502400
23609,A1J75JJ0Q2OEJN,B00001P4ZH,5.0,1238889600
23651,A3J8A5L5AF5TX9,B00001P4ZH,4.0,1333584000
23741,A6FIAB28IS79,B00001P4ZH,3.0,1237507200
26256,A6FIAB28IS79,B00001W0DI,5.0,1084665600
27244,A2BMZRO0H7TFCS,B00001WRSJ,3.0,1262822400
28272,A1F9Z42CFF9IAY,B00001WRSJ,2.0,1247961600
29389,A2WLNSZ9U0T1S3,B00001ZWXA,5.0,1204416000
30329,A11KZ906QD08C5,B000023VW2,4.0,1156896000
30498,A3OXHLG6DIBRW8,B000026D8E,2.0,1233619200
30556,A250AXLRBVYKB4,B000026D8E,1.0,1249862400
31178,A3TAS1AG6FMBQW,B00002EQCW,5.0,1357862400
31876,A3L9E0YI7C5G0W,B00002NDRQ,5.0,1363478400
32447,A3OXHLG6DIBRW8,B00003006E,5.0,1244937600
32462,A23GFTVIETX7DS,B00003006E,5.0,1230508800
32466,A36K2N527TXXJN,B00003006E,5.0,1259452800
32507,A1EH2S92FHWZRP,B00003006E,5.0,1253577600
32736,A5JLAU2ARJ0BO,B00003006R,5.0,1052092800
32737,AN81JUYW2SL24,B00003006R,5.0,1062460800
33049,A3NHUQ33CFH3VM,B000031KIM,4.0,1302998400
34249,A6FIAB28IS79,B00003CWDH,4.0,1219968000
35047,A6VPK7X53QNAQ,B00003G1RG,5.0,1085788800
35087,A5JLAU2ARJ0BO,B00003G1RG,3.0,1104796800
36661,AEJAGHLC675A7,B00004RC2D,5.0,983836800
38345,A5JLAU2ARJ0BO,B00004S9AK,5.0,956880000
39300,A1ODOGXEYECQQ8,B00004SABB,4.0,1318636800
40411,A5JLAU2ARJ0BO,B00004SB92,4.0,1034726400
40417,AN81JUYW2SL24,B00004SB92,5.0,1062460800
40902,A1EXGL6L0QQ0M5,B00004SB92,5.0,1104105600
40990,A1F9Z42CFF9IAY,B00004SB92,4.0,1020556800
42238,A3PD8JD9L4WEII,B00004SQET,5.0,1327276800
44797,A19W47CXJJP1MI,B00004T8R2,5.0,1314144000
46019,A3J8A5L5AF5TX9,B00004T8R2,4.0,1290297600
46170,A3T7V207KRDE2O,B00004T8R2,5.0,1335398400
47222,A1T1YSCDW0PD25,B00004TDLD,5.0,1317254400
48911,A2HMF8ZR67BNZS,B00004THCZ,5.0,1262390400
48971,A4WEZJOIZIV4U,B00004THCZ,4.0,1388880000
50803,A5JLAU2ARJ0BO,B00004TS16,5.0,979257600
51720,AWPODHOB4GFWL,B00004TWM6,5.0,1213056000
54602,AN81JUYW2SL24,B00004VUGJ,4.0,1269734400
